Comm_Dist_ Boro,Comm_District,FAM_DIR,FAM_Fel_Assault ,DV_Fel_Assault ,FAM_Rape ,DV_Rape 
Bronx ,1,2459,109,299,7,17
Bronx ,2,1131,40,106,4,9
Bronx ,3,2833,65,190,3,10
Bronx ,4,2337,87,206,6,10
Bronx ,5,2247,73,244,5,14
Bronx ,6,1442,58,179,6,14
Bronx ,7,1613,60,192,6,15
Bronx ,8,572,18,64,0,2
Bronx ,9,2626,111,289,5,13
Bronx ,10,1162,30,85,1,3
Bronx ,11,1038,44,111,1,6
Bronx ,12,1910,94,309,4,15
Bronx , BXJIA ,13,0,2,0,0
Brooklyn ,1,1208,49,127,2,8
Brooklyn ,2,978,36,92,1,2
Brooklyn ,3,3150,80,215,6,20
Brooklyn ,4,1193,37,104,6,9
Brooklyn ,5,3334,145,355,6,25
Brooklyn ,6,767,16,59,0,2
Brooklyn ,7,558,27,76,2,12
Brooklyn ,8,1567,56,128,3,5
Brooklyn ,9,1133,45,97,0,2
Brooklyn ,10,479,15,57,2,3
Brooklyn ,11,787,39,104,1,2
Brooklyn ,12,506,18,52,2,4
Brooklyn ,13,1263,44,102,3,4
Brooklyn ,14,1226,34,113,4,7
Brooklyn ,15,868,34,90,0,5
Brooklyn ,16,2894,93,259,7,16
Brooklyn ,17,1970,97,261,6,13
Brooklyn ,18,2384,89,189,6,14
Brooklyn ,BKJIA,12,0,1,0,0
Manhattan,1,121,3,8,0,1
Manhattan,2,128,4,16,0,2
Manhattan,3,1501,55,118,2,8
Manhattan,4,559,15,71,3,9
Manhattan,5,183,4,41,0,2
Manhattan,6,323,9,37,1,4
Manhattan,7,1089,19,66,2,8
Manhattan,8,372,14,43,0,3
Manhattan,9,1326,36,93,5,8
Manhattan,10,2857,69,197,3,5
Manhattan,11,2868,87,244,9,18
Manhattan,12,1542,66,146,0,7
Manhattan,MNJIA,2,0,0,0,0
Queens ,1,1363,42,141,3,13
Queens ,2,589,25,75,0,3
Queens ,3,1152,58,142,7,17
Queens ,4,847,29,95,5,10
Queens ,5,771,37,101,3,7
Queens ,6,306,7,23,0,2
Queens ,7,923,30,100,3,6
Queens ,8,877,28,74,4,12
Queens ,9,1192,22,68,5,7
Queens ,10,1028,41,126,1,4
Queens ,11,398,14,31,0,0
Queens ,12,3453,139,357,9,23
Queens ,13,1306,78,181,2,7
Queens ,14,2129,89,232,5,15
Queens ,QNJIA,5,0,1,0,0
Staten Island ,1,3042,76,206,13,17
Staten Island ,2,914,20,54,1,2
Staten Island ,3,726,13,38,1,2
Staten Island ,SIJIA ,2,0,0,0,0
